page_id,page_title,protection_level,page_length,number_page_watchers,number_page_watchers_recent_edits,number_of_redirects,page_views_past_30days,total_edits,recent_number_of_edits,number_distinct_authors,number_categories
3874841,"""Polish death camp"" controversy",extendedconfirmed,55464,143,15,15,2614,2028,3,1,13
18938265,"""Weird Al"" Yankovic",autoconfirmed,179298,926,52,45,94011,9165,4,3,30
17901024,'Azza,extendedconfirmed,5574,Fewer than 30 watchers,,4,213,87,0,0,8
5352780,(A Ballad of) A Peaceful Man,autoconfirmed,2867,Fewer than 30 watchers,,2,117,97,2,2,8
57057212,(G)I-dle,autoconfirmed,154207,80,33,8,67847,2033,58,25,27
51189151,2017 Formula One Season,sysop,113,Fewer than 30 watchers,,0,47,15,0,0,5
31455534,...In Spite of Harry's Toenail,autoconfirmed,3043,Fewer than 30 watchers,,2,163,95,2,2,9
290328,.org,autoconfirmed,13271,138,22,2,12319,817,0,0,9
47045163,/pol/,autoconfirmed,28529,62,27,2,470,663,3,2,5
34513,0,autoconfirmed,59667,530,68,56,74553,4188,4,4,22
16352281,0.0.0.0,autoconfirmed,4417,42,6,3,11382,229,0,0,4
22770,1,autoconfirmed,23204,425,36,70,41167,3444,5,3,6
0,1+1,autoconfirmed,0,Fewer than 30 watchers,,0,0,,,,
208151,10,autoconfirmed,18385,165,23,18,11290,1414,0,0,9
59714245,123Movies,autoconfirmed,14427,88,26,6,161034,654,0,0,8
39988,1272,autoconfirmed,3321,Fewer than 30 watchers,,8,236,416,0,0,4
1969218,13th Waffen Mountain Division of the SS Handschar (1st Croatian),autoconfirmed,91263,126,16,24,7957,2172,0,0,19
2707254,1500 metres,autoconfirmed,43033,42,11,12,91627,814,28,14,4
52867888,16 Hudson,autoconfirmed,1357,Fewer than 30 watchers,,0,340,39,0,0,2
48222655,1815 in Russia,autoconfirmed,801,Fewer than 30 watchers,,0,19,15,0,0,6
66167156,1831 in Germany,autoconfirmed,3135,Fewer than 30 watchers,,0,13,11,0,0,4
59656518,1832 in Germany,autoconfirmed,6253,Fewer than 30 watchers,,1,37,25,0,0,4
66166612,1833 in Germany,autoconfirmed,2592,Fewer than 30 watchers,,0,25,6,0,0,4
66154365,1834 in Germany,autoconfirmed,3835,Fewer than 30 watchers,,0,17,11,1,1,4
66133201,1835 in Germany,autoconfirmed,3057,Fewer than 30 watchers,,0,39,6,0,0,4
66130087,1836 in Germany,autoconfirmed,2614,Fewer than 30 watchers,,0,26,7,0,0,3
66122257,1837 in Germany,autoconfirmed,3191,Fewer than 30 watchers,,0,20,9,0,0,3
66103659,1838 in Germany,autoconfirmed,2348,Fewer than 30 watchers,,0,25,9,0,0,5
66084539,1839 in Germany,autoconfirmed,6632,Fewer than 30 watchers,,0,28,14,0,0,5
66066251,1840 in Germany,autoconfirmed,4066,Fewer than 30 watchers,,0,67,11,0,0,3
66063078,1841 in Germany,autoconfirmed,2266,Fewer than 30 watchers,,0,19,13,0,0,5
66058679,1842 in Germany,autoconfirmed,2845,Fewer than 30 watchers,,0,28,10,1,1,4
66057139,1843 in Germany,autoconfirmed,5572,Fewer than 30 watchers,,0,34,9,0,0,4
52930724,1844 in Germany,autoconfirmed,2954,Fewer than 30 watchers,,0,27,41,0,0,3
66048934,1845 in Germany,autoconfirmed,2953,Fewer than 30 watchers,,0,29,8,0,0,5
66045450,1846 in Germany,autoconfirmed,1953,Fewer than 30 watchers,,0,37,10,0,0,4
66033556,1847 in Germany,autoconfirmed,1978,Fewer than 30 watchers,,0,21,12,0,0,3
64550875,1848 in Germany,autoconfirmed,6503,Fewer than 30 watchers,,1,21,21,0,0,3
66030911,1849 in Germany,autoconfirmed,4144,Fewer than 30 watchers,,0,4,5,0,0,3
58101154,1854 in Germany,autoconfirmed,3703,Fewer than 30 watchers,,0,27,45,0,0,3
65998770,1855 in Germany,autoconfirmed,1532,Fewer than 30 watchers,,0,28,9,0,0,3
66003634,1856 in Germany,autoconfirmed,1971,Fewer than 30 watchers,,0,22,7,0,0,4
66007949,1857 in Germany,autoconfirmed,2151,Fewer than 30 watchers,,0,20,7,0,0,3
66019212,1858 in Germany,autoconfirmed,3196,Fewer than 30 watchers,,0,27,11,0,0,5
66030686,1859 in Germany,autoconfirmed,2451,Fewer than 30 watchers,,0,29,7,1,1,3
58042500,1860 in Germany,autoconfirmed,2958,Fewer than 30 watchers,,0,77,39,0,0,3
58403664,1862 in Germany,autoconfirmed,4846,Fewer than 30 watchers,,1,31,34,0,0,5
61888617,1863 in Germany,autoconfirmed,8801,Fewer than 30 watchers,,1,37,23,1,1,4
34788,1868,autoconfirmed,38591,42,4,21,1504,765,1,1,8
58042558,1869 in Germany,autoconfirmed,3609,Fewer than 30 watchers,,0,51,51,0,0,3
52103794,1870 in Germany,autoconfirmed,6642,Fewer than 30 watchers,,0,121,76,0,0,8
30828959,1871 in Germany,autoconfirmed,9110,Fewer than 30 watchers,,0,101,112,1,1,9
26343485,1873 in Germany,autoconfirmed,10933,Fewer than 30 watchers,,0,73,81,0,0,3
32369982,1876 in Germany,autoconfirmed,3340,Fewer than 30 watchers,,0,36,108,0,0,11
33547405,1877 in Germany,autoconfirmed,7280,Fewer than 30 watchers,,0,37,80,0,0,9
32369794,1878 in Germany,autoconfirmed,6353,Fewer than 30 watchers,,0,51,85,0,0,9
33547618,1879 in Germany,autoconfirmed,6277,Fewer than 30 watchers,,0,57,80,0,0,4
33548310,1881 in Germany,autoconfirmed,6524,Fewer than 30 watchers,,0,49,144,0,0,9
33550791,1885 in Germany,autoconfirmed,10572,Fewer than 30 watchers,,0,52,144,1,1,7
33550976,1886 in Germany,autoconfirmed,7057,Fewer than 30 watchers,,0,56,86,0,0,9
33551155,1887 in Germany,autoconfirmed,7221,Fewer than 30 watchers,,0,53,104,0,0,6
34711,1889,autoconfirmed,40263,46,3,10,2429,1224,1,1,9
33478992,1889 in Germany,autoconfirmed,7088,Fewer than 30 watchers,,0,47,78,0,0,5
32337802,1891 in Germany,autoconfirmed,7896,Fewer than 30 watchers,,0,54,94,0,0,8
32323491,1892 in Germany,autoconfirmed,8485,Fewer than 30 watchers,,0,49,93,0,0,9
30560103,1893 in Germany,autoconfirmed,19235,Fewer than 30 watchers,,0,58,86,0,0,4
33545087,1894 in Germany,autoconfirmed,6606,Fewer than 30 watchers,,0,33,64,0,0,5
32317162,1897 in Germany,autoconfirmed,7665,Fewer than 30 watchers,,0,43,83,0,0,9
32295752,1901 in Germany,autoconfirmed,4969,Fewer than 30 watchers,,0,70,143,0,0,13
32389788,1903 in Germany,autoconfirmed,6998,Fewer than 30 watchers,,0,52,71,0,0,6
30552675,1907 in Germany,autoconfirmed,12360,Fewer than 30 watchers,,0,45,61,0,0,4
33438108,1908 in Germany,autoconfirmed,7497,Fewer than 30 watchers,,0,57,85,2,1,12
33438272,1909 in Germany,autoconfirmed,9578,Fewer than 30 watchers,,0,29,91,0,0,9
31645230,1910 in Germany,autoconfirmed,4883,Fewer than 30 watchers,,0,88,149,0,0,9
31593209,1911 in Germany,autoconfirmed,4184,Fewer than 30 watchers,,0,60,71,0,0,6
32238648,1913 in Germany,autoconfirmed,10830,Fewer than 30 watchers,,0,69,114,0,0,9
32393492,1916 in Germany,autoconfirmed,4568,Fewer than 30 watchers,,0,70,70,0,0,10
57711958,1917 (2019 film),autoconfirmed,60193,204,29,6,108437,2167,8,5,9
470348,1922 in Germany,autoconfirmed,22702,Fewer than 30 watchers,,1,201,225,0,0,5
1481808,1923 in Germany,autoconfirmed,9386,Fewer than 30 watchers,,0,267,169,0,0,5
1485390,1925 in Germany,autoconfirmed,3878,Fewer than 30 watchers,,0,141,152,0,0,12
23584199,1926 Copa del Rey,autoconfirmed,17309,Fewer than 30 watchers,,2,517,541,0,0,5
31455970,1927 in Germany,autoconfirmed,7053,Fewer than 30 watchers,,0,128,107,0,0,6
31581587,1928 in Germany,autoconfirmed,2818,Fewer than 30 watchers,,0,102,131,0,0,7
17626789,1929 Hebron massacre,extendedconfirmed,46977,184,16,6,3610,1090,0,0,14
31459358,1931 in Germany,autoconfirmed,6944,Fewer than 30 watchers,,0,306,72,0,0,6
30813856,1933 in Germany,autoconfirmed,5735,Fewer than 30 watchers,,0,1085,162,0,0,8
30813950,1934 in Germany,autoconfirmed,7246,Fewer than 30 watchers,,0,516,148,1,1,9
10296712,1936-1939 Arab revolt in Palestine,extendedconfirmed,74,Fewer than 30 watchers,,0,32,4,0,0,
18057244,1936-39 Arab revolt in Palestine,extendedconfirmed,74,Fewer than 30 watchers,,0,19,4,0,0,
30814083,1937 in Germany,autoconfirmed,3055,Fewer than 30 watchers,,0,440,118,0,0,4
30814181,1938 in Germany,autoconfirmed,12770,Fewer than 30 watchers,,0,580,114,0,0,6
34614,1939,autoconfirmed,108479,71,8,11,4262,3122,11,7,
28666996,1939 in Germany,autoconfirmed,9810,Fewer than 30 watchers,,0,454,197,0,0,9
30818178,1941 in Germany,autoconfirmed,11995,Fewer than 30 watchers,,0,261,143,0,0,5
30826366,1942 in Germany,autoconfirmed,10642,Fewer than 30 watchers,,0,450,172,0,0,6
30829065,1944 in Germany,autoconfirmed,16870,Fewer than 30 watchers,,0,503,157,0,0,6
30829497,1945 in Germany,autoconfirmed,24643,Fewer than 30 watchers,,0,824,212,1,1,4
58155879,1947-49 Palestine war,extendedconfirmed,56,190,50,0,78,2,0,0,
51550220,1947 Jammu massacres,extendedconfirmed,38928,39,7,2,5455,535,0,0,6
13074847,1947-1948 Civil War in Mandatory Palestine,extendedconfirmed,82,Fewer than 30 watchers,,0,73,12,0,0,
60100941,1947-1948 civil war in Mandatory Palestine,extendedconfirmed,235,Fewer than 30 watchers,,0,13,1,0,0,
29114541,1947-1949 Palestine war,extendedconfirmed,39,33,33,0,24,3,0,0,
17959466,1947-48 Civil War in Mandatory Palestine,extendedconfirmed,82,Fewer than 30 watchers,,0,26,9,0,0,
19123667,1948 Arab-Israeli War,extendedconfirmed,61,129,129,0,1839,2,0,0,
58254354,1948 Palestine war,extendedconfirmed,56,191,51,0,1783,2,0,0,
25234737,1948 Palestinian exodus,extendedconfirmed,107195,449,46,9,11386,3840,11,7,19
22620057,1948 Palestinian exodus from Lydda and Ramle,extendedconfirmed,117508,170,18,16,1394,2168,0,0,15
57896178,1948 Palestinian expulsion from Lydda and Ramle,extendedconfirmed,75,154,41,0,0,1,0,0,
44971567,1948 in Germany,autoconfirmed,4508,Fewer than 30 watchers,,0,79,82,0,0,4
181696,1949 Armistice Agreements,extendedconfirmed,44592,121,17,12,2925,506,1,1,14
44971582,1949 in Germany,autoconfirmed,5844,Fewer than 30 watchers,,0,87,93,0,0,4
26868658,1950-1951 Baghdad bombings,extendedconfirmed,66,Fewer than 30 watchers,,0,14,4,0,0,
41307364,1950-51 Baghdad bombings,extendedconfirmed,42,Fewer than 30 watchers,,0,0,2,0,0,
44971658,1952 in Germany,autoconfirmed,4012,Fewer than 30 watchers,,0,50,85,0,0,4
17797986,1952 raid on Beit Jala,extendedconfirmed,7470,37,2,9,45,368,0,0,2
44971742,1954 in Germany,autoconfirmed,5912,Fewer than 30 watchers,,0,57,144,0,0,4
37958046,1958 Syerston Avro Vulcan crash,autoconfirmed,6257,Fewer than 30 watchers,,1,1217,61,3,2,6
44971893,1958 in Germany,autoconfirmed,4917,Fewer than 30 watchers,,0,56,99,0,0,4
44971929,1959 in Germany,autoconfirmed,5929,Fewer than 30 watchers,,2,48,141,0,0,4
44976648,1966 in Germany,autoconfirmed,5000,Fewer than 30 watchers,,0,50,98,0,0,4
11172310,1967 Oil Embargo,extendedconfirmed,5846,Fewer than 30 watchers,,1,180,70,0,0,
11591980,1967 Palestinian exodus,extendedconfirmed,5267,39,6,0,532,106,0,0,5
44976675,1967 in Germany,autoconfirmed,4942,Fewer than 30 watchers,,0,53,110,0,0,3
44976741,1969 in Germany,autoconfirmed,4738,Fewer than 30 watchers,,0,208,138,0,0,4
3347996,1971 Bangladesh genocide,autoconfirmed,149739,195,34,18,25585,2052,7,5,19
61244590,1972 Israeli Bangkok Embassy hostage crisis,extendedconfirmed,69,Fewer than 30 watchers,,0,189,1,0,0,
1856025,1973 Israeli raid on Lebanon,extendedconfirmed,11924,151,11,2,4671,318,1,1,3
44976844,1973 in Germany,autoconfirmed,3900,Fewer than 30 watchers,,0,41,62,0,0,4
244180,1973 oil crisis,extendedconfirmed,75480,359,31,24,23301,2881,1,1,23
36336560,1975 Sikkimese monarchy referendum,autoconfirmed,10192,Fewer than 30 watchers,,7,1496,150,0,0,10
1088850,1978 South Lebanon conflict,extendedconfirmed,20330,157,7,7,2021,521,5,2,7
18821771,1979 Nahariya attack,extendedconfirmed,20802,45,3,4,580,297,1,1,10
39030239,1980 Moradabad riots,autoconfirmed,11755,Fewer than 30 watchers,,1,3592,128,1,1,3
44976982,1980 in Germany,autoconfirmed,3455,Fewer than 30 watchers,,0,93,73,0,0,4
181820,1982 Lebanon War,extendedconfirmed,137799,305,16,31,16711,2795,3,3,23
1130104,1982 New Brunswick general election,autoconfirmed,25323,Fewer than 30 watchers,,1,133,88,0,0,5
24305505,1984 anti-Sikh riots,autoconfirmed,83849,210,16,17,36974,2685,9,3,23
458649,1985 Rome and Vienna airport attacks,extendedconfirmed,10216,34,6,5,802,191,0,0,3
34761,1986,autoconfirmed,112549,174,16,24,9264,8042,16,9,
44977046,1986 in Germany,autoconfirmed,4126,Fewer than 30 watchers,,0,75,65,0,0,4
1102585,1987 New Brunswick general election,autoconfirmed,27582,Fewer than 30 watchers,,1,648,135,1,1,7
34670,1988,autoconfirmed,131001,439,16,27,8137,10075,29,15,
43597375,1989 (Taylor Swift album),autoconfirmed,184255,183,26,20,50342,4235,4,3,73
19492436,1990 Temple Mount riots,extendedconfirmed,19023,60,5,3,335,329,0,0,5
1027254,1991 CONCACAF Gold Cup,autoconfirmed,17021,Fewer than 30 watchers,,1,8536,297,14,9,7
64673036,1991 Iraqi rocket attacks on Israel,extendedconfirmed,8783,Fewer than 30 watchers,,0,2783,49,2,2,5
11020994,1992 Israeli legislative election,extendedconfirmed,12933,Fewer than 30 watchers,,2,843,126,5,1,3
42673281,1992 Troy State vs. DeVry men's basketball game,autoconfirmed,18699,Fewer than 30 watchers,,4,1578,499,0,0,4
28347998,1992 United States men's Olympic basketball team,autoconfirmed,55616,79,19,3,341671,1456,6,6,10
433761,1992 attack on Israeli embassy in Buenos Aires,extendedconfirmed,11054,96,6,9,1005,323,0,0,15
1027291,1993 CONCACAF Gold Cup,autoconfirmed,17137,Fewer than 30 watchers,,1,7001,289,13,8,8
693391,1994 London Israeli Embassy bombing,extendedconfirmed,13569,77,5,12,450,204,2,2,7
1027342,1996 CONCACAF Gold Cup,autoconfirmed,16144,Fewer than 30 watchers,,1,8616,220,13,8,5
31203225,1997 Mahane Yehuda Market bombings,extendedconfirmed,4462,30,6,1,144,116,4,2,
1027385,1998 CONCACAF Gold Cup,autoconfirmed,20669,Fewer than 30 watchers,,1,8496,282,15,10,5
1123327,1998 San Marino Grand Prix,autoconfirmed,12326,Fewer than 30 watchers,,0,380,125,0,0,6
40546176,1998 Sokcho submarine incident,autoconfirmed,4716,Fewer than 30 watchers,,0,13214,268,0,0,5
44977294,1998 in Germany,autoconfirmed,2784,Fewer than 30 watchers,,0,44,42,0,0,4
34553,1999,autoconfirmed,67113,189,20,24,13118,7406,6,4,
2027674,1999 Odisha cyclone,autoconfirmed,49363,49,2,14,4309,485,1,1,10
19767582,19 Kids and Counting,autoconfirmed,63912,223,21,43,56403,11323,1,1,5
44571556,19th Satellite Awards,autoconfirmed,30385,Fewer than 30 watchers,,1,233,204,4,2,
47109343,1 Ropemaker Street,autoconfirmed,113,Fewer than 30 watchers,,0,2,18,0,0,
64516,2,autoconfirmed,11786,216,23,56,17721,2380,2,2,9
48669265,2+2,autoconfirmed,21,Fewer than 30 watchers,,0,4,3,0,0,
48116360,2.0 (film),autoconfirmed,78057,145,20,12,48943,5074,0,0,12
1027422,2000 CONCACAF Gold Cup,autoconfirmed,32868,Fewer than 30 watchers,,2,17854,378,15,10,7
182771,2000 Camp David Summit,extendedconfirmed,47718,116,8,12,3447,1034,0,0,9
2985745,2000 Ramallah lynching,extendedconfirmed,26729,80,6,11,3329,544,1,1,4
49709371,2000-06 Shebaa Farms conflict,extendedconfirmed,138,Fewer than 30 watchers,,0,0,3,0,0,
21556563,2000-2006 Shebaa Farms conflict,extendedconfirmed,71,Fewer than 30 watchers,,0,10,4,0,0,
31207435,2001 HaSharon Mall suicide bombing,extendedconfirmed,3488,Fewer than 30 watchers,,0,146,63,1,1,2
33505040,2001 Immanuel bus attack,extendedconfirmed,10701,Fewer than 30 watchers,,0,77,67,0,0,3
32938591,2001 Netanya bombing,extendedconfirmed,4672,31,4,0,69,69,2,2,
1027553,2002 CONCACAF Gold Cup,autoconfirmed,25985,Fewer than 30 watchers,,1,11359,287,15,9,5
6356686,2002 Gujarat riots,autoconfirmed,139559,331,14,26,31096,5553,2,2,13
32816533,2002 Immanuel bus attack,extendedconfirmed,6195,30,3,2,57,83,1,1,3
32724949,2002 Rishon LeZion bombing,extendedconfirmed,5515,32,5,1,94,71,1,1,4
1027604,2003 CONCACAF Gold Cup,autoconfirmed,23664,Fewer than 30 watchers,,1,15148,333,14,9,6
32871852,2003 French Hill suicide bombings,extendedconfirmed,5964,31,4,4,22,79,1,1,4
47537069,2003 Route 60 Hamas ambush,extendedconfirmed,8842,Fewer than 30 watchers,,0,34,59,0,0,3
20915425,2004 Ashdod Port bombings,extendedconfirmed,6022,31,4,4,147,82,2,2,7
7242143,2004 Boscastle flood,autoconfirmed,14812,31,6,3,2652,1477,0,0,8
32940179,2004 Erez Crossing bombing,extendedconfirmed,6783,Fewer than 30 watchers,,2,38,63,1,1,2
1328236,2004 Indian Ocean earthquake and tsunami,autoconfirmed,149317,917,46,89,139660,12795,18,5,21
668141,2004 Israeli operation in Rafah,extendedconfirmed,28690,98,2,3,151,408,0,0,4
1048241,2004 Israeli operation in the northern Gaza Strip,extendedconfirmed,40842,88,3,5,106,398,1,1,10
2330508,2004 Sinai bombings,extendedconfirmed,8776,34,2,0,480,118,0,0,5
1105881,2005 CONCACAF Gold Cup,autoconfirmed,30092,Fewer than 30 watchers,,2,12339,416,14,9,7
4764272,2005 Kids' Choice Awards,autoconfirmed,7737,Fewer than 30 watchers,,0,1096,347,0,0,
157233,2006 FIFA World Cup,autoconfirmed,127803,1468,37,60,133354,13687,4,4,23
33177783,2006 Gaza cross-border raid,extendedconfirmed,28032,40,3,2,289,214,1,1,11
6299231,2006 Hezbollah cross-border raid,extendedconfirmed,33747,112,7,11,1204,693,0,0,7
7733141,2006 Israeli operation in Beit Hanoun,extendedconfirmed,10851,58,There may or may not be a watching user visiting recent edits,5,64,199,0,0,11
4637745,2006 Kids' Choice Awards,autoconfirmed,8114,Fewer than 30 watchers,,1,1174,323,0,0,
6299613,2006 Lebanon War,extendedconfirmed,237364,1333,24,71,22989,20950,10,7,31
6183677,2006 Qana airstrike,extendedconfirmed,40274,160,8,9,402,1698,1,1,6
5664475,2007 CONCACAF Gold Cup,autoconfirmed,28133,35,There may or may not be a watching user visiting recent edits,1,15613,1776,13,8,7
2911781,2007 Formula One World Championship,autoconfirmed,92127,107,10,20,50689,3864,1,1,17
9142517,2007 Indian presidential election,autoconfirmed,20095,Fewer than 30 watchers,,3,3448,336,9,4,11
17450998,2008 California Proposition 8,autoconfirmed,186243,313,17,37,17581,4623,1,1,16
15594592,2008 Dimona suicide bombing,extendedconfirmed,8786,31,5,4,96,121,1,1,
67722777,2008 Israeli operation in the Gaza Strip,extendedconfirmed,127,93,6,0,0,2,0,0,5
21175028,2008 Israel-Hamas ceasefire,extendedconfirmed,67,Fewer than 30 watchers,,0,6,2,0,0,
18244580,2008 Jerusalem bulldozer attack,extendedconfirmed,29901,71,5,13,1049,578,2,2,10
15035918,2008 Kids' Choice Awards,autoconfirmed,14229,Fewer than 30 watchers,,4,1453,1209,0,0,2
406859,2008 United States presidential election,autoconfirmed,196405,1044,32,93,118904,17790,2,2,23
25784834,2009-2010 attacks on Indian students in Australia,autoconfirmed,63,34,34,0,0,3,0,0,
22001462,2009 Arab Capital of Culture,extendedconfirmed,8874,Fewer than 30 watchers,,3,13,204,0,0,3
20593665,2009 CONCACAF Gold Cup,autoconfirmed,39246,41,3,4,14188,1622,16,10,13
21376149,2009 Hamas political violence in Gaza,extendedconfirmed,9069,49,11,11,67,354,0,0,8
9590163,2009 Indian general election,autoconfirmed,112095,62,6,14,22498,1379,3,3,16
18555378,2009 Kids' Choice Awards,autoconfirmed,12745,Fewer than 30 watchers,,4,1574,1118,0,0,3
24629811,2009 Nobel Peace Prize,autoconfirmed,69433,105,4,4,5416,1346,8,7,11
18077237,2009 in American television,autoconfirmed,143016,39,5,0,1512,3890,1,1,15
168079,2010 FIFA World Cup,autoconfirmed,178474,407,39,58,179467,9502,8,6,22
25804468,2010 Haiti earthquake,autoconfirmed,198266,330,24,26,131336,5652,11,10,28
28281204,2010 Israel-Lebanon border clash,extendedconfirmed,72,Fewer than 30 watchers,,0,0,2,0,0,
26126852,2010 Kids' Choice Awards,autoconfirmed,18524,30,7,3,1759,2001,0,0,4
28962172,2010 Palestinian militancy campaign,extendedconfirmed,23288,43,4,6,172,164,0,0,5
26623709,2010 Tapuah Junction stabbing,extendedconfirmed,16054,Fewer than 30 watchers,,1,51,184,0,0,
49722444,2010-11 Israeli-Palestinian peace talks,extendedconfirmed,162,Fewer than 30 watchers,,0,0,3,0,0,
58915349,2010-2011 Israeli-Palestinian peace talks,extendedconfirmed,237,Fewer than 30 watchers,,0,0,2,0,0,
30418738,2011 Brisbane Floods,autoconfirmed,68,Fewer than 30 watchers,,0,64,97,2,2,
25089178,2011 CONCACAF Gold Cup,autoconfirmed,43809,37,4,2,17475,2026,13,8,9
31272990,2011 Jerusalem bus stop bombing,extendedconfirmed,18910,Fewer than 30 watchers,,3,45,328,1,1,4
29765087,2011 Kids' Choice Awards,autoconfirmed,19574,32,4,3,1581,1749,0,0,5
32496189,2011 Norway attacks,autoconfirmed,208415,313,42,59,206943,4997,60,34,36
20741383,2011 Singaporean general election,autoconfirmed,84633,32,2,7,2068,975,2,2,8
32918714,2011 Tel Aviv nightclub attack,extendedconfirmed,23653,Fewer than 30 watchers,,2,167,266,0,0,4
304601,1936–1939 Arab revolt in Palestine,extendedconfirmed,130081,221,31,20,7205,1388,137,8,19
53706170,1936–39 Arab revolt in Palestine,extendedconfirmed,67,171,43,0,1042,1,0,0,
60098707,1947–1948 Civil War in Mandatory Palestine,extendedconfirmed,75,204,44,0,457,1,0,0,
10639341,1947–1948 civil war in Mandatory Palestine,extendedconfirmed,111657,230,19,28,3457,1544,1,1,21
45137635,1947–1949 Palestine war,extendedconfirmed,66246,258,40,28,10685,1139,7,2,11
59052047,1947–48 Civil War in Mandatory Palestine,extendedconfirmed,75,198,35,0,1325,2,0,0,
58169268,1947–49 Palestine war,extendedconfirmed,56,192,53,0,34,1,0,0,
36197,1948 Arab–Israeli War,extendedconfirmed,187699,556,53,17,38623,6377,15,8,30
43394456,1950–1951 Baghdad bombings,extendedconfirmed,59060,66,9,7,496,532,0,0,11
64017465,1950–51 Baghdad bombings,extendedconfirmed,89,62,21,0,58,1,0,0,3
62475250,2000–06 Shebaa Farms conflict,extendedconfirmed,94,95,21,0,81,1,0,0,3
7959095,2000–2006 Shebaa Farms conflict,extendedconfirmed,15874,97,4,4,830,224,4,2,9
21118167,2008 Israel–Hamas ceasefire,extendedconfirmed,61852,50,8,2,171,331,0,0,16
28244607,2010 Israel–Lebanon border clash,extendedconfirmed,51559,83,5,7,673,825,2,2,12
66406938,2010–11 Israeli–Palestinian peace talks,extendedconfirmed,106,46,6,0,49,1,0,0,3
28984181,2010–2011 Israeli–Palestinian peace talks,extendedconfirmed,59982,50,6,10,162,450,1,1,15
31150160,2011 Tōhoku earthquake and tsunami,autoconfirmed,231667,550,68,109,83664,8525,11,11,27
32786931,2011 southern Israel cross-border attacks,extendedconfirmed,75912,83,There may or may not be a watching user visiting recent edits,12,602,939,1,1,10
37144304,2012 Afghan Premier League,autoconfirmed,10989,Fewer than 30 watchers,,0,72,116,0,0,3
37018641,2012 Benghazi attack,autoconfirmed,223962,355,37,17,91754,2924,2,1,14
36473123,2012 Burgas bus bombing,extendedconfirmed,57162,72,4,11,1595,1058,1,1,13
26890964,2012 Indian presidential election,autoconfirmed,26079,Fewer than 30 watchers,,1,4520,788,3,2,9
37641752,2012 Israeli operation in the Gaza Strip,extendedconfirmed,167253,209,9,17,1106,3455,2,2,25
39689467,2013 Benghazi conflict,autoconfirmed,9503,Fewer than 30 watchers,,0,82,100,0,0,7
32339815,2013 CONCACAF Gold Cup,autoconfirmed,39756,39,7,2,20760,977,13,8,7
39580428,2013 El Reno tornado,autoconfirmed,49342,75,21,2,30681,1013,0,0,7
42811090,2013 IRS scandal,autoconfirmed,55,47,4,0,133,6,0,0,
36412979,2013 Kids' Choice Awards,autoconfirmed,15069,32,3,2,1736,936,0,0,4
