page_id,page_title,protection_level,page_length,number_page_watchers,number_page_watchers_recent_edits,number_of_redirects,page_views_past_30days,total_edits,recent_number_of_edits,number_distinct_authors,number_categories
63799724,2013–14 Israeli–Palestinian peace talks,extendedconfirmed,106,54,16,0,199,1,0,0,3
40099619,2013–2014 Israeli–Palestinian peace talks,extendedconfirmed,58666,57,5,7,274,379,0,0,12
43680745,2014 Afghan Premier League,autoconfirmed,14470,Fewer than 30 watchers,,0,26,134,0,0,2
44360910,2014 Alon Shvut stabbing attack,extendedconfirmed,10415,Fewer than 30 watchers,,4,98,111,0,0,3
43243199,2014 Gaza War,extendedconfirmed,297731,324,35,47,6151,7458,4,3,42
47039694,2014 Gaza war beach bombing incidents,extendedconfirmed,24434,31,4,1,497,96,1,1,2
43436831,2014 Israeli shelling of UNRWA Gaza shelters,extendedconfirmed,43657,43,4,7,121,544,2,2,6
66387527,2014 Israel–Gaza conflict,extendedconfirmed,74,313,35,0,2515,1,0,0,5
43518060,2014 Israel–Gaza conflict in video games,extendedconfirmed,7346,Fewer than 30 watchers,,2,159,47,0,0,
43471871,2014 Jerusalem tractor attack,extendedconfirmed,15029,Fewer than 30 watchers,,4,137,128,0,0,5
44050909,2014 Jerusalem unrest,extendedconfirmed,44670,57,9,13,402,496,0,0,16
40139470,2014 Kids' Choice Awards,autoconfirmed,14315,30,4,1,1542,758,0,0,
3471531,2014 National Society of Film Critics Awards,autoconfirmed,5880,Fewer than 30 watchers,,1,56,108,0,0,
39554886,2014 Toronto mayoral election,autoconfirmed,69352,32,5,4,1054,851,0,0,11
893219,2014 Winter Olympics,autoconfirmed,137893,293,25,60,175219,5306,3,3,32
43055548,2014 kidnapping and murder of Israeli teenagers,extendedconfirmed,159498,128,11,27,2850,1747,2,1,21
58359487,2015-2016 wave of violence in Israeli-Palestinian conflict,extendedconfirmed,93,68,There may or may not be a watching user visiting recent edits,0,1,3,0,0,
47595383,2015 Afghan Premier League,autoconfirmed,19545,Fewer than 30 watchers,,1,42,246,0,0,2
36266667,2015 CONCACAF Gold Cup,autoconfirmed,58532,52,4,4,27761,1445,16,10,10
48598769,2015 Gush Etzion Junction attack,extendedconfirmed,9904,32,2,1,35,68,1,1,2
53159627,2015 Gush Etzion Junction shooting,extendedconfirmed,63,Fewer than 30 watchers,,0,14,1,0,0,
54364290,2015 ICC Cricket World Cup,autoconfirmed,53,123,20,0,166,1,0,0,
37281035,2015 Israeli legislative election,autoconfirmed,103091,76,11,10,1897,1237,2,2,7
42375597,2015 Kids' Choice Awards,autoconfirmed,27791,30,4,0,1690,899,1,1,9
67627202,2015–16 wave of violence in Israeli–Palestinian conflict,extendedconfirmed,123,87,7,0,10,1,0,0,3
65609377,2015–2016 wave of violence in Israeli-Palestinian conflict,extendedconfirmed,123,85,2,0,90,2,0,0,3
48140837,2015–2016 wave of violence in Israeli–Palestinian conflict,extendedconfirmed,100819,88,7,14,378,1364,0,0,11
50225559,2016 Jerusalem bus bombing,extendedconfirmed,7743,33,3,2,221,122,4,3,2
52131997,2016 Jerusalem shooting,extendedconfirmed,60,Fewer than 30 watchers,,0,1,1,0,0,
51920939,2016 Jerusalem shooting attack,extendedconfirmed,16650,Fewer than 30 watchers,,1,61,111,0,0,
46292168,2016 Kids' Choice Awards,autoconfirmed,20422,Fewer than 30 watchers,,0,1840,930,0,0,4
49685953,2016 Tel Aviv stabbings,extendedconfirmed,16829,Fewer than 30 watchers,,2,131,146,1,1,8
21377251,2016 United States presidential election,autoconfirmed,387949,844,102,65,180237,17361,9,8,18
38714852,2016–17 A-League,autoconfirmed,65305,Fewer than 30 watchers,,2,436,1999,0,0,4
53784622,2017 Aleppo suicide car bombing,autoconfirmed,13220,33,3,1,181,258,1,1,6
54632982,2017 Amman incident,extendedconfirmed,17411,Fewer than 30 watchers,,4,104,180,0,0,3
47349042,2017 CONCACAF Gold Cup,autoconfirmed,29407,34,9,1,37193,764,15,11,11
54678091,2017 China–India border standoff,extendedconfirmed,48879,59,7,5,4959,543,0,0,10
32040812,2017 FIFA U-17 World Cup,autoconfirmed,95825,67,8,4,24387,1977,0,0,7
39142152,2017 FIFA U-20 World Cup,autoconfirmed,92703,40,6,5,14914,1461,14,6,8
54618623,2017 Halamish stabbing attack,extendedconfirmed,20639,37,9,2,322,159,0,0,3
55350093,2017 Har Adar shooting,extendedconfirmed,11654,33,There may or may not be a watching user visiting recent edits,8,44,159,0,0,3
53775062,2017 Jerusalem Light Rail stabbing,extendedconfirmed,16437,38,2,1,81,210,1,1,6
52807982,2017 Jerusalem truck attack,extendedconfirmed,22139,42,6,5,123,392,0,0,7
53247260,2017 Kids' Choice Awards,autoconfirmed,27664,Fewer than 30 watchers,,1,2173,664,0,0,3
54639038,2017 Temple Mount crisis,extendedconfirmed,21415,34,7,3,212,148,0,0,3
54549508,2017 Temple Mount shooting,extendedconfirmed,28350,40,5,0,245,319,0,0,4
53708429,2017 Umm al-Hiran attack,extendedconfirmed,68,Fewer than 30 watchers,,0,1,2,0,0,
53019238,2017 Umm al-Hiran incident,extendedconfirmed,203,Fewer than 30 watchers,,0,1,73,0,0,
49118750,2017–18 Formula E Championship,autoconfirmed,48911,Fewer than 30 watchers,,6,4620,629,0,0,3
64394389,2017–18 Formula E season,autoconfirmed,93,Fewer than 30 watchers,,0,569,1,0,0,3
53840831,2017–18 Southern Football League,autoconfirmed,99975,Fewer than 30 watchers,,11,212,360,0,0,4
57905053,2018 Derry riots,autoconfirmed,4695,Fewer than 30 watchers,,0,284,35,8,6,3
57944662,2018 Gaza-Israel conflict,extendedconfirmed,63,Fewer than 30 watchers,,0,3,4,0,0,
57894402,2018 Gaza border clashes,extendedconfirmed,63,98,29,0,1,3,0,0,
60670299,2018 Gaza border protests,extendedconfirmed,63,112,33,0,299,2,0,0,
57053727,2018 Gaza border protests and Israeli shootings,extendedconfirmed,63,Fewer than 30 watchers,,0,0,4,0,0,
57053858,2018 Gaza border protests and clashes,extendedconfirmed,63,Fewer than 30 watchers,,0,0,3,0,0,
57905098,2018 Gaza–Israel conflict,extendedconfirmed,46,Fewer than 30 watchers,,0,0,92,0,0,
57119527,2018 Hamburg stabbing attack,autoconfirmed,7866,Fewer than 30 watchers,,2,90,134,0,0,3
57048238,2018 Land Day incidents,extendedconfirmed,63,Fewer than 30 watchers,,0,0,6,0,0,
56995590,2018 Land Day massacre,extendedconfirmed,63,Fewer than 30 watchers,,0,0,9,0,0,
56995488,2018 Land Day protests,extendedconfirmed,63,Fewer than 30 watchers,,0,14,10,0,0,
59205026,2018 New York Film Critics Circle Awards,autoconfirmed,2112,Fewer than 30 watchers,,0,53,38,0,0,3
55897845,2018 Novak Djokovic tennis season,extendedconfirmed,42039,Fewer than 30 watchers,,0,1003,376,1,1,4
63799046,2018–19 Gaza border protests,extendedconfirmed,93,119,35,0,83,1,0,0,3
56984243,2018–2019 Gaza border protests,extendedconfirmed,227259,124,15,27,1300,1740,4,3,14
60075495,2019 Balakot airstrike,extendedconfirmed,74031,81,12,6,15199,684,1,1,8
61601471,2019 Beirut drone crash,extendedconfirmed,8813,Fewer than 30 watchers,,5,140,148,0,0,
49341639,2019 CONCACAF Gold Cup,autoconfirmed,45988,41,12,0,59006,761,16,10,11
41331555,2019 FIFA U-17 World Cup,autoconfirmed,91316,33,9,3,15093,1947,2,2,5
41331653,2019 FIFA U-20 World Cup,autoconfirmed,104114,50,14,1,20292,1890,1,1,13
42784744,2019 Indian general election,autoconfirmed,227150,159,29,12,77506,4555,24,7,17
60086893,2019 India–Pakistan border skirmishes,extendedconfirmed,102689,134,19,12,7876,1070,12,2,14
60269548,2019 India–Pakistan standoff,extendedconfirmed,70,99,25,0,2220,2,0,0,
62436900,2019 Israeli airstrikes in Iraq,extendedconfirmed,16419,Fewer than 30 watchers,,0,236,150,0,0,4
60088883,2019 Jammu and Kashmir airstrikes,extendedconfirmed,41436,43,15,2,5451,504,10,2,10
59738393,2019 Nevada killing spree,autoconfirmed,14141,Fewer than 30 watchers,,1,157,261,0,0,3
62500743,2019 New York Film Critics Circle Awards,autoconfirmed,2101,Fewer than 30 watchers,,1,84,46,0,0,3
59957696,2019 Pulwama attack,extendedconfirmed,85576,113,13,5,19486,810,11,3,10
61608480,2019 Qousaya attack,extendedconfirmed,81,Fewer than 30 watchers,,0,7,17,0,0,3
60231218,2019 Tel Aviv rocket strike,extendedconfirmed,7498,Fewer than 30 watchers,,3,54,49,0,0,2
46676222,2019 United Kingdom general election,autoconfirmed,277136,354,96,25,76351,4575,5,5,18
55520428,2019–2021 ICC World Test Championship,autoconfirmed,82672,42,18,5,21682,4180,15,5,4
38113558,2020 Atlantic hurricane season,autoconfirmed,230151,166,89,35,47291,11559,70,13,11
65281642,2020 Championship League (2020–21 season),autoconfirmed,121238,Fewer than 30 watchers,,3,1273,1802,2,2,8
66910761,2020 China–India skirmishes,extendedconfirmed,97,121,69,0,9095,1,0,0,5
62755408,2020 Jawaharlal Nehru University attack,autoconfirmed,75292,32,4,4,1272,537,2,2,9
65431221,2020 Nagorno-Karabakh war,autoconfirmed,380603,228,112,23,73193,6070,30,18,28
63712210,2020 Palghar mob lynching,extendedconfirmed,20314,Fewer than 30 watchers,,1,2184,228,2,1,7
1610886,2020 Summer Olympics,autoconfirmed,207933,608,305,116,10136030,10937,706,207,22
63542764,2020 Tablighi Jamaat COVID-19 hotspot in Delhi,extendedconfirmed,89554,47,5,5,916,578,1,1,11
65746765,2020 Tablighi Jamaat coronavirus hotspot in Delhi,extendedconfirmed,107,45,26,0,107,1,0,0,3
48410011,2020 United States presidential election,autoconfirmed,395675,744,242,78,451153,12120,17,13,12
60663941,2020 World Rally Championship,autoconfirmed,104572,Fewer than 30 watchers,,2,5467,1471,0,0,9
63855993,2020 coronavirus pandemic in the Republic of Artsakh,extendedconfirmed,105,Fewer than 30 watchers,,0,2,1,0,0,3
62713753,2020 in Germany,autoconfirmed,29928,Fewer than 30 watchers,,1,146,130,1,1,16
61949829,2020 in Philippine television,autoconfirmed,350468,Fewer than 30 watchers,,0,4737,4437,18,4,20
63358914,2020 stock market crash,autoconfirmed,282450,131,38,14,23260,969,0,0,9
63914196,2020–2021 China–India skirmishes,extendedconfirmed,343173,135,51,17,47749,2754,10,4,13
65701455,2020–2021 Indian farmers' protest,extendedconfirmed,246930,123,53,14,48531,1368,37,23,16
63308104,2020–21 A-League,autoconfirmed,61457,Fewer than 30 watchers,,5,7434,1422,5,3,4
64511614,2020–21 ATK Mohun Bagan FC season,autoconfirmed,33539,Fewer than 30 watchers,,1,2059,623,6,3,6
66309636,2020—2021 United States coup d'état attempt,autoconfirmed,126,63,63,0,10,1,0,0,3
67760485,2021-22 NBA season,autoconfirmed,81,Fewer than 30 watchers,,0,1858,4,0,0,3
66975427,2021 Arctic Rally,autoconfirmed,86,Fewer than 30 watchers,,0,247,1,0,0,3
66571799,2021 Arctic Rally Finland,autoconfirmed,51737,Fewer than 30 watchers,,1,557,164,0,0,6
67666835,2021 Armenia–Azerbaijan border crisis,autoconfirmed,64475,Fewer than 30 watchers,,1,17094,309,150,49,13
57798785,2021 Atlantic hurricane season,autoconfirmed,87208,77,75,10,167230,2003,486,57,7
67183150,2021 Boulder shooting,autoconfirmed,65776,76,76,16,16539,1207,10,2,10
53745966,2021 Bulgarian presidential election,autoconfirmed,2597,Fewer than 30 watchers,,1,2996,56,0,0,
57050993,2021 CONCACAF Gold Cup,autoconfirmed,42054,33,30,3,619078,627,169,46,9
67903070,2021 Championship League (2021–22 season),autoconfirmed,94633,Fewer than 30 watchers,,1,65314,654,621,52,3
68213064,2021 Cuban protests,autoconfirmed,156800,60,60,4,68528,1564,665,57,10
65778845,2021 FIA Formula 3 Championship,autoconfirmed,68005,Fewer than 30 watchers,,2,59959,502,38,10,4
65778610,2021 Formula 2 Championship,autoconfirmed,65460,Fewer than 30 watchers,,5,100557,557,14,8,2
57373873,2021 Formula One World Championship,autoconfirmed,124384,105,99,34,677179,3492,86,27,11
67642078,2021 Gaza War,extendedconfirmed,44,Fewer than 30 watchers,,0,132,2,0,0,
66885784,2021 Gibraltar Open,autoconfirmed,22253,Fewer than 30 watchers,,0,314,758,0,0,4
43336805,2021 ICC Men's T20 World Cup,autoconfirmed,49149,66,32,40,285077,1253,10,6,4
67639070,2021 Israeli Palestinian violence,extendedconfirmed,91,30,30,0,1,1,0,0,3
67620503,2021 Israel–Palestine crisis,extendedconfirmed,239634,179,179,24,44833,2533,51,14,16
66210309,2021 J1 League,autoconfirmed,54529,Fewer than 30 watchers,,0,24706,896,89,6,6
67638847,2021 Jerusalem clashes,extendedconfirmed,91,Fewer than 30 watchers,,0,78,2,0,0,3
66567997,2021 Myanmar coup d'état,autoconfirmed,166208,95,73,9,45996,995,11,8,18
66612294,2021 Myanmar protests,autoconfirmed,203091,69,68,12,21563,1306,16,11,20
62357485,2021 NASCAR Cup Series,autoconfirmed,187690,30,26,0,68791,1878,92,14,7
66178526,2021 New Year Honours,autoconfirmed,179883,Fewer than 30 watchers,,0,4511,129,15,10,3
56185392,2021 Pacific typhoon season,autoconfirmed,213754,38,37,27,138210,3701,1549,58,23
66408363,2021 Super2 Series,autoconfirmed,29104,Fewer than 30 watchers,,0,1446,228,15,4,
63123207,2021 Supercars Championship,autoconfirmed,89963,Fewer than 30 watchers,,1,13828,821,41,10,4
68187748,2021 Taliban offensive,autoconfirmed,214905,123,123,8,816033,1174,927,235,21
66307490,2021 United States Capitol attack,autoconfirmed,302006,625,386,149,153567,9527,247,79,15
62705243,2021 World Rally Championship,autoconfirmed,124011,Fewer than 30 watchers,,5,34060,762,43,7,8
66040227,2021 World Rally Championship-3,autoconfirmed,43522,Fewer than 30 watchers,,0,1982,143,10,3,4
62025756,2021 in American television,autoconfirmed,301864,39,27,0,48524,2802,134,22,10
66008801,2021 in Philippine television,autoconfirmed,130511,Fewer than 30 watchers,,1,42763,3344,230,29,15
67884628,2021 in the Israeli–Palestinian conflict,extendedconfirmed,115,Fewer than 30 watchers,,0,41,1,0,0,3
68439364,2021 storming of the United States Capitol,autoconfirmed,94,620,398,0,90056,1,1,1,5
67901081,2021–22 Indian Super League season,autoconfirmed,31526,Fewer than 30 watchers,,1,103544,501,281,49,9
67778114,2021–22 Manchester United F.C. season,autoconfirmed,29310,Fewer than 30 watchers,,4,107572,390,217,53,4
17742072,2022 FIFA World Cup,autoconfirmed,106538,279,92,27,460154,3752,17,14,12
57918711,2022 FIFA World Cup qualification (CONMEBOL),autoconfirmed,70716,42,34,1,39565,768,35,8,10
60637832,2022 FIFA World Cup qualification – AFC Second Round,autoconfirmed,158291,53,42,4,19167,2887,19,11,7
61127229,2022 Florida gubernatorial election,autoconfirmed,35915,Fewer than 30 watchers,,16,53154,564,69,22,6
63422045,2022 Formula One World Championship,autoconfirmed,54770,46,38,30,76018,656,25,9,11
65797264,2022 Indian presidential election,autoconfirmed,7312,Fewer than 30 watchers,,0,22090,375,50,24,5
67716440,2022 MotoGP World Championship,autoconfirmed,20083,Fewer than 30 watchers,,1,30289,155,47,19,6
48669426,2022 Summer Youth Olympics,autoconfirmed,158,37,5,0,1686,540,0,0,
65465083,2022 Supercars Championship,autoconfirmed,13699,Fewer than 30 watchers,,0,3262,151,9,6,
65200547,2023 CONCACAF Gold Cup,autoconfirmed,3229,Fewer than 30 watchers,,0,19333,32,10,8,6
64467696,2023 FIFA U-17 World Cup,autoconfirmed,3806,Fewer than 30 watchers,,1,7128,40,13,10,3
59568546,2024 United States presidential election,autoconfirmed,115745,152,96,84,122607,3442,117,43,11
53251,2030,autoconfirmed,128,59,6,0,958,910,7,6,3
48272807,2048 (number),autoconfirmed,40,Fewer than 30 watchers,,0,28,33,0,0,
3303873,20th Century Animation,autoconfirmed,33312,77,21,4,16223,1050,1,1,6
63611944,"20th Century Animation, Inc.",autoconfirmed,83,55,10,0,6,2,0,0,3
1749993,20th Century Studios Home Entertainment,autoconfirmed,26846,73,14,15,2051,1074,1,1,5
48703696,20th Satellite Awards,autoconfirmed,24661,Fewer than 30 watchers,,1,259,188,4,2,
1013573,2100,autoconfirmed,101,Fewer than 30 watchers,,0,512,177,0,0,5
52423004,21st Satellite Awards,autoconfirmed,29508,Fewer than 30 watchers,,1,278,187,4,2,
1299930,21st Waffen Mountain Division of the SS Skanderbeg,autoconfirmed,55725,70,11,13,2551,1222,10,5,14
55922686,22nd Satellite Awards,autoconfirmed,27855,Fewer than 30 watchers,,0,362,127,4,2,
59196867,23rd Satellite Awards,autoconfirmed,28678,Fewer than 30 watchers,,0,450,81,4,2,
59338626,24th Critics' Choice Awards,autoconfirmed,19400,Fewer than 30 watchers,,0,840,96,0,0,
66574155,25th Satellite Awards,autoconfirmed,30656,Fewer than 30 watchers,,0,1136,71,0,0,2
12120000,27 Club,autoconfirmed,60025,519,44,12,346449,4292,6,6,8
37728824,2 Chainz,autoconfirmed,60569,197,6,14,36966,2417,1,1,14
14610495,2 Girls 1 Cup,autoconfirmed,24135,327,19,29,190730,2259,4,3,6
41256500,2 World Trade Center,autoconfirmed,35906,109,16,12,13593,1525,19,10,11
45401475,33rd Luna Awards,autoconfirmed,35,Fewer than 30 watchers,,0,1,21,0,0,
59083653,34th Independent Spirit Awards,autoconfirmed,13495,Fewer than 30 watchers,,0,540,84,0,0,6
66412121,36th Independent Spirit Awards,autoconfirmed,15615,Fewer than 30 watchers,,1,1701,123,0,0,4
50880740,3Kids,autoconfirmed,70,Fewer than 30 watchers,,0,170,164,0,0,2
40096344,3 (Britney Spears song),autoconfirmed,71,44,There may or may not be a watching user visiting recent edits,0,2984,9,0,0,3
23443424,3rd millennium,autoconfirmed,36036,202,43,1240,31318,1978,12,9,16
208161,4,autoconfirmed,78686,210,22,41,19368,2557,1,1,9
40686508,46th AWGIE Awards,autoconfirmed,6081,Fewer than 30 watchers,,0,12,74,0,0,6
66993219,46th Saturn Awards,autoconfirmed,31127,Fewer than 30 watchers,,0,8327,38,5,3,3
12561015,4chan,autoconfirmed,137970,1125,92,42,137055,6826,7,5,23
18509449,4th Force Reconnaissance Company,autoconfirmed,3804,Fewer than 30 watchers,,6,507,108,0,0,7
41144706,50/50 burger,autoconfirmed,2937,Fewer than 30 watchers,,2,302,63,0,0,6
192481,50 Cent,autoconfirmed,175187,1015,43,53,219627,13374,12,9,41
3975519,50 Cent albums discography,autoconfirmed,43089,61,9,1,12309,5557,8,4,11
1277423,50 Greatest Players in NBA History,autoconfirmed,64848,92,15,18,36995,3612,1,1,11
61541518,50th GMA Dove Awards,autoconfirmed,30279,Fewer than 30 watchers,,3,270,46,0,0,2
64457301,53rd Syedna succession controversy (Dawoodi Bohra),autoconfirmed,97,Fewer than 30 watchers,,0,160,2,0,0,3
36693528,5 Seconds of Summer,autoconfirmed,161745,853,21,17,38930,3248,1,1,24
60337924,5pm,autoconfirmed,124,Fewer than 30 watchers,,0,11,2,0,0,6
208171,6,autoconfirmed,54510,166,17,44,19034,1949,1,1,12
2265536,64 Zoo Lane,autoconfirmed,16290,42,14,1,3629,1319,4,1,3
10101085,69,autoconfirmed,983,70,10,3,35319,244,0,0,
378157,69 (number),autoconfirmed,5045,57,6,3,19579,928,0,0,3
46347018,2015 Semenyih helicopter crash,sysop,109,Fewer than 30 watchers,,0,3,53,0,0,3
21294731,*NSYNC,sysop,108,53,4,0,729,8,0,0,5
21492121,1804 Squadron ATC,sysop,83,Fewer than 30 watchers,,0,4,38,0,0,
19381993,2008 Summer Olympics Opening Ceremony,sysop,83,53,53,0,604,3,0,0,2
19028722,2006 Israel-Lebanon conflict,sysop,77,1002,1001,0,299,10,0,0,3
57231378,2018 George Tooke Shield,sysop,76,Fewer than 30 watchers,,0,1,26,0,0,3
39323115,2013 Stanley Cup Final,sysop,69,Fewer than 30 watchers,,0,5,2,0,0,
39323122,2013 Stanley Cup final,sysop,69,Fewer than 30 watchers,,0,0,2,0,0,
39323148,2013 Stanley Cup finals,sysop,69,Fewer than 30 watchers,,0,5,2,0,0,2
39323130,2013 stanley cup final,sysop,69,Fewer than 30 watchers,,0,1,2,0,0,2
39323133,2013 stanley cup finals,sysop,69,Fewer than 30 watchers,,0,1,2,0,0,2
42486163,2014 Stanley Cup Final,sysop,69,Fewer than 30 watchers,,0,10,3,0,0,
42486164,2014 Stanley Cup final,sysop,69,Fewer than 30 watchers,,0,0,3,0,0,
42486165,2014 Stanley Cup finals,sysop,69,Fewer than 30 watchers,,0,0,3,0,0,2
42486166,2014 stanley cup final,sysop,69,Fewer than 30 watchers,,0,0,3,0,0,2
42486167,2014 stanley cup finals,sysop,69,Fewer than 30 watchers,,0,5,3,0,0,2
46633275,2015 Stanley Cup Final,sysop,69,Fewer than 30 watchers,,0,1,2,0,0,
46633274,2015 Stanley Cup final,sysop,69,Fewer than 30 watchers,,0,0,2,0,0,
46633273,2015 Stanley Cup finals,sysop,69,Fewer than 30 watchers,,0,0,2,0,0,2
46633272,2015 stanley cup final,sysop,69,Fewer than 30 watchers,,0,1,2,0,0,2
46633271,2015 stanley cup finals,sysop,69,Fewer than 30 watchers,,0,5,2,0,0,2
50537909,2016 Stanley Cup Final,sysop,69,Fewer than 30 watchers,,0,6,2,0,0,
50537911,2016 Stanley Cup final,sysop,69,Fewer than 30 watchers,,0,0,2,0,0,
50537912,2016 Stanley Cup finals,sysop,69,Fewer than 30 watchers,,0,1,2,0,0,2
50537913,2016 stanley cup final,sysop,69,Fewer than 30 watchers,,0,1,2,0,0,2
50537916,2016 stanley cup finals,sysop,69,Fewer than 30 watchers,,0,2,2,0,0,2
54017803,2017 Stanley Cup Final,sysop,69,Fewer than 30 watchers,,0,1,2,0,0,
54017850,2017 Stanley Cup final,sysop,69,Fewer than 30 watchers,,0,0,2,0,0,
54017867,2017 stanley cup final,sysop,69,Fewer than 30 watchers,,0,0,2,0,0,2
57390536,2018 Stanley Cup Final,sysop,69,Fewer than 30 watchers,,0,5,2,0,0,
57390538,2018 Stanley Cup final,sysop,69,Fewer than 30 watchers,,0,0,2,0,0,
57390540,2018 stanley cup final,sysop,69,Fewer than 30 watchers,,0,0,2,0,0,2
60583885,2019 Stanley Cup Final,sysop,69,Fewer than 30 watchers,,0,9,2,0,0,
60583923,2019 Stanley Cup final,sysop,69,Fewer than 30 watchers,,0,0,2,0,0,
60583939,2019 stanley cup final,sysop,69,Fewer than 30 watchers,,0,26,2,0,0,2
31858060,2011 MotoGP Season,sysop,54,Fewer than 30 watchers,,0,1,103,0,0,
34484872,2012 MotoGP Season,sysop,54,Fewer than 30 watchers,,0,10,2,0,0,
20540800,14 MARATHA LI,sysop,52,Fewer than 30 watchers,,0,1,4,0,0,
23502197,2009 Honduran crisis,sysop,49,Fewer than 30 watchers,,0,0,5,0,0,
14478616,2girls1cup,sysop,49,Fewer than 30 watchers,,0,56,5,0,0,
33817716,50/50 Twin,sysop,49,Fewer than 30 watchers,,0,145,71,0,0,
22381820,2008 Beijing Drum Tower incident during the Olympic Games,sysop,47,Fewer than 30 watchers,,0,0,2,0,0,
19375895,2008 Chatsworth Metrolink collision,sysop,46,Fewer than 30 watchers,,0,0,4,0,0,
19389590,2008 Summer Olympics medal count,sysop,46,71,71,0,492,3,0,0,
19381355,"2008 Chatsworth, California train collision",sysop,45,Fewer than 30 watchers,,0,0,5,0,0,
38192437,100 Players Who Shook The Kop,sysop,44,Fewer than 30 watchers,,0,501,5,0,0,
28604838,(I Only Know Him) In The Dark,sysop,42,Fewer than 30 watchers,,0,2,15,0,0,
21435090,2009 Tampa Bay Devil Rays season,sysop,41,Fewer than 30 watchers,,0,2,13,0,0,
24230015,2010 Tampa Bay Devil Rays season,sysop,40,Fewer than 30 watchers,,0,0,14,0,0,
44606946,32/16 bit C programming,sysop,38,Fewer than 30 watchers,,0,0,11,0,0,
35145673,2012 Stanley Cup Final,sysop,37,Fewer than 30 watchers,,0,16,3,0,0,
35742298,2012 Stanley Cup final,sysop,37,Fewer than 30 watchers,,0,0,2,0,0,
39026519,1984 Sikh genocide,sysop,34,60,6,0,27,5,0,0,
19752669,4 Stroke Internal Combustion Engine,sysop,32,Fewer than 30 watchers,,0,1,25,0,0,
27579675,2010 Cumbria Shootings,sysop,31,Fewer than 30 watchers,,0,12,14,0,0,
27195641,5 Hour Energy,sysop,27,Fewer than 30 watchers,,0,89,3,0,0,
25086382,404 (error message),sysop,22,Fewer than 30 watchers,,0,1,3,0,0,
575206,404 Error,sysop,22,Fewer than 30 watchers,,0,0,6,0,0,
265410,404 File Not Found,sysop,22,Fewer than 30 watchers,,0,0,10,0,0,
4249706,404 Not Found,sysop,22,Fewer than 30 watchers,,0,25,7,0,0,
3785409,404 Page Not Found,sysop,22,Fewer than 30 watchers,,0,1,5,0,0,
4732851,404 error,sysop,22,Fewer than 30 watchers,,0,174,19,0,0,
20411205,404 not found,sysop,22,Fewer than 30 watchers,,0,3,3,0,0,
